name,ra,dec,trigger_time,t90,fluence,trigger_name
GRB161012637,160.43,-74.28,57673.63698,6.400,6.1394E-07,bn161012637
GRB141221897,126.02,-74.21,57012.89709,32.513,7.4393E-06,bn141221897
GRB150602840,289.87,-74.21,57175.8398,10.496,4.7133E-06,bn150602840
GRB091117080,246.54,-73.94,55152.08015,113.664,3.6824E-06,bn091117080
GRB200809654,15.8295,-73.8456,59070.65379,17.408,1.4822E-06,bn200809654
GRB181103046,295.48,-73.76,58425.04636,11.776,6.0455E-07,bn181103046
GRB110517453,296.09,-73.76,55698.45319,0.576,9.8898E-08,bn110517453
GRB181022846,216.26,-65.29,58413.84619,13.824,7.6459E-07,bn181022846
GRB170304003,330.5,-73.76,57816.00308,0.160,3.1497E-07,bn170304003
GRB140712973,83.48,-73.62,56850.97282,28.160,5.0997E-06,bn140712973
GRB201227635,170.121,-73.613,59210.63481,0.112,0.000003429,bn201227635
GRB240516150,212.807,-63.4878,60446.15029,46.337,2.5512E-06,bn240516150
GRB190921699,338.38,-63.42,58747.69855,22.272,2.5786E-06,bn190921699
GRB211219910,68.54,-63.18,59567.90956,73.729,0.000007832,bn211219910
GRB200803149,311.29,-63.08,59064.14892,118.274,0.000030893,bn200803149
GRB090304216,195.9,-73.4,54894.21584,2.816,8.9864E-07,bn090304216
GRB151026523,107.39,-73.32,57321.52267,63.232,4.3163E-06,bn151026523
GRB160625230,314.53,-73.26,57564.2305,43.265,3.3536E-06,bn160625230
GRB100604287,248.3,-73.19,55351.28721,13.440,5.5087E-06,bn100604287
GRB140213807,105.218,-73.136,56701.80662,18.624,0.000021248,bn140213807
GRB090922605,38.36,-73.08,55096.60465,52.736,4.5135E-06,bn090922605
GRB090513941,99.1,-72.9,54964.94138,11.776,1.0415E-06,bn090513941
GRB130425327,17.78,-72.85,56407.32727,62.209,0.000041678,bn130425327
GRB160325291,15.6521,-72.6967,57472.29122,42.945,0.000018598,bn160325291
GRB091102607,72.6161,-72.5197,55137.60739,6.656,1.8772E-06,bn091102607
GRB231214850,305.686,-72.433,60292.85029,20.992,0.000019361,bn231214850
GRB100926595,222.75,-72.35,55465.59518,32.256,6.9728E-06,bn100926595
GRB191112369,164.42,-72.27,58799.36896,50.432,8.2268E-06,bn191112369
GRB200616048,116.16,-72.23,59016.0481,23.297,0.000002758,bn200616048
GRB191031780,115.862,-62.335,58787.78005,77.825,0.00001106,bn191031780
GRB090120627,38.1,-72.2,54851.62665,1.856,7.6823E-07,bn090120627
GRB141022061,241.901,-72.129,56952.06098,11.520,5.602E-07,bn141022061
GRB170113420,61.735,-71.933,57766.41956,49.152,2.0371E-06,bn170113420
GRB120827216,222.74,-71.89,56166.21557,5.056,3.3669E-06,bn120827216
GRB100517639,52.73,-71.87,55333.63887,5.440,2.9107E-06,bn100517639
GRB090802666,267.02,-71.77,55045.66555,27.520,2.7698E-06,bn090802666
GRB110618366,176.808,-71.688,55730.36639,163.843,0.000062375,bn110618366
GRB090516137,122.2,-71.62,54967.13704,110.594,0.000016153,bn090516137
GRB190906767,171.84,-71.57,58732.76747,23.040,2.2883E-06,bn190906767
GRB210501205,357.84,-71.3,59335.20486,8.192,4.7016E-07,bn210501205
GRB230729294,0.55,-62.25,60154.29357,0.832,1.1692E-07,bn230729294
GRB130320560,195.539,-71.259,56371.56012,340.992,0.000057803,bn130320560
GRB231224868,102.29,-71.17,60302.86755,0.832,2.3693E-07,bn231224868
GRB201104001,81.4,-71.1,59157.00066,52.480,0.000013058,bn201104001
GRB120711115,94.69,-71,56119.11451,44.033,0.00019428,bn120711115
GRB200219317,342.638,-59.12,58898.31723,1.152,1.5848E-06,bn200219317
GRB090927422,343.95,-70.98,55101.42173,0.512,3.0258E-07,bn090927422
GRB180801492,3.38,-70.68,58331.49215,7.424,1.3352E-06,bn180801492
GRB171212434,39.44,-70.62,58099.43355,32.001,5.0312E-06,bn171212434
GRB230617926,139.45,-70.53,60112.92606,2.560,1.4248E-07,bn230617926
GRB140616165,104.94,-70.51,56824.16464,0.512,2.8079E-07,bn140616165
GRB240517612,249.93,-58.31,60447.61239,24.320,6.8598E-07,bn240517612
GRB090606471,146.94,-70.49,54988.47093,8.064,9.4591E-07,bn090606471
GRB230709735,267.56,-70.47,60134.73503,0.192,5.8382E-06,bn230709735
